Trial	A/R	Trigger_mode
1	1	4
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	3
10	1	3
11	1	2
12	1	3
13	0	2
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	0	3
22	0	3
23	0	1
24	0	2
25	1	1
26	1	1
27	1	1
28	1	1
29	1	1
30	0	1
31	0	1
32	1	2
33	0	1
34	1	1
35	1	1
36	1	1
37	1	1
38	1	1
39	1	1
40	1	2
41	0	1
42	0	1
43	0	2
44	0	1
45	1	1
46	0	1
47	1	1
48	1	3
49	1	2
50	0	2
51	1	2
52	1	1
53	1	1
54	1	1
55	0	2
56	1	2
57	1	1
58	1	1
59	1	1
60	1	1
61	1	1
62	0	1
63	0	3
64	1	3
65	1	1
66	0	1
67	0	3
68	0	3
69	0	3
70	0	3
71	0	1
72	0	3
73	0	3
74	1	3
75	0	1
76	0	1
77	1	1
78	1	1
79	1	1
80	1	1
81	1	1
82	1	1
83	1	1
84	1	1
85	1	1
86	1	1
87	1	1
88	1	1
89	1	2
90	1	1
91	0	1
92	1	1
93	1	1
94	1	1
95	1	1
96	1	2
97	1	2
98	1	2
99	1	1
100	1	2
101	1	2
102	0	1
103	1	1
104	1	1
105	1	1
106	0	3
107	1	1
108	1	1
109	1	2
110	0	3
111	0	2
112	0	1
113	0	1
114	0	3
115	0	3
116	0	2
117	0	1
118	0	3
119	0	3
120	0	2
121	0	3
122	0	2
123	1	3
124	0	3
125	0	2
126	0	3
127	0	2
128	0	3
129	0	3
130	0	2
131	0	3
132	0	1
133	0	3
134	0	3
135	0	2
136	0	2
137	0	1
138	0	3
139	0	3
140	1	3
141	0	2
142	0	3
143	0	3
144	0	1
