Trial	A/R	Trigger_mode
1	1	4
2	1	1
3	1	1
4	0	1
5	0	1
6	0	1
7	1	1
8	1	1
9	1	1
10	1	2
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	0	1
20	1	2
21	1	1
22	0	1
23	1	3
24	1	1
25	1	1
26	0	1
27	1	2
28	1	1
29	1	1
30	1	1
31	0	1
32	0	3
33	1	1
34	0	1
35	0	1
36	0	3
37	1	1
38	1	1
39	0	1
40	0	1
41	0	1
42	0	3
43	0	1
44	0	2
45	1	1
46	1	1
47	1	1
48	0	1
49	0	2
50	1	3
51	1	1
52	1	1
53	0	1
54	0	3
55	0	1
56	0	3
57	1	4
58	1	1
59	1	1
60	1	1
61	1	1
62	1	1
63	1	1
64	1	1
65	0	3
66	0	3
67	0	1
68	1	2
69	1	1
70	1	1
71	1	1
72	0	1
73	1	1
74	1	3
75	1	1
76	1	3
77	1	1
78	1	1
79	1	1
80	1	1
81	1	2
82	0	1
83	1	3
84	0	3
85	0	3
86	0	3
87	0	3
88	0	3
