Trial	A/R	Trigger_mode
1	1	4
2	0	3
3	1	2
4	1	1
5	1	1
6	1	1
7	1	1
8	0	1
9	1	1
10	0	1
11	1	3
12	1	1
13	0	1
14	1	1
15	1	1
16	1	1
17	1	1
18	0	1
19	0	1
20	0	1
21	0	2
22	1	1
23	1	1
24	0	1
25	1	1
26	1	1
27	1	1
28	1	1
29	1	1
30	0	1
31	1	3
32	0	2
33	1	1
34	1	1
35	0	1
36	1	1
37	1	1
38	1	1
39	1	1
40	1	1
41	1	1
42	1	1
43	0	1
44	0	2
45	0	1
46	0	3
47	0	3
48	0	1
49	1	1
50	1	1
51	1	1
52	1	1
53	1	1
54	1	2
55	1	2
56	1	1
57	1	1
58	1	1
59	1	1
60	1	1
61	1	1
62	1	1
63	1	1
64	1	1
65	1	1
66	1	2
67	0	3
68	0	3
69	1	1
70	1	1
71	0	1
72	0	1
73	0	1
74	1	2
75	1	1
76	0	1
77	0	1
78	0	1
79	0	1
80	1	1
81	1	1
82	0	1
83	0	1
84	1	1
85	0	1
86	1	2
87	1	1
88	1	1
89	1	1
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
95	1	1
96	1	1
97	1	1
98	1	1
99	1	1
100	1	2
101	1	3
102	0	3
103	0	1
104	0	3
105	0	3
106	1	1
107	1	1
108	1	1
109	0	3
110	0	1
111	1	1
112	1	1
113	0	1
114	0	1
115	0	1
116	0	2
117	1	1
118	1	1
119	0	1
120	0	3
121	1	1
122	1	1
123	1	1
124	1	1
125	1	1
126	1	1
127	1	1
128	1	1
129	1	1
130	0	1
131	0	1
132	1	1
133	1	1
134	1	1
135	0	1
136	0	3
137	0	1
138	0	1
139	1	1
140	1	2
141	1	1
142	1	1
143	1	1
144	0	1
