Trial	A/R	Trigger_mode
1	0	4
2	1	1
3	1	1
4	1	1
5	1	1
6	0	3
7	0	1
8	0	2
9	0	1
10	0	3
11	1	2
12	0	1
13	0	1
14	0	1
15	0	1
16	0	1
17	0	3
18	1	2
19	1	1
20	0	1
21	0	3
22	0	3
23	0	1
24	0	3
25	0	3
26	0	3
27	0	1
28	0	1
29	0	1
30	1	2
31	0	1
32	0	3
33	0	3
34	0	3
35	0	1
36	0	3
37	0	2
38	0	2
39	0	1
40	1	3
41	1	1
42	1	1
43	1	1
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	0	1
50	1	3
51	1	1
52	0	2
53	0	3
54	0	1
55	0	3
56	0	2
57	0	1
58	1	3
59	1	1
60	1	1
61	0	1
62	1	1
63	1	1
64	1	1
65	1	1
66	0	1
67	0	1
68	0	1
69	1	1
70	1	1
71	1	1
72	1	1
73	1	1
74	0	1
75	1	2
76	0	2
77	1	3
78	0	3
79	1	3
80	1	3
81	0	3
82	0	2
83	0	3
84	0	1
85	1	1
86	1	3
87	1	1
88	1	1
89	1	2
90	1	1
91	1	1
92	1	1
93	0	1
94	2	2
95	2	1
96	2	1
97	2	3
