Trial	A/R	Trigger_mode
1	1	4
2	1	1
3	1	2
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	0	1
24	1	2
25	1	3
26	0	1
27	0	3
28	0	3
29	0	3
30	1	2
31	1	1
32	1	1
33	1	2
34	0	1
35	1	1
36	1	1
37	1	1
38	1	1
39	1	1
40	1	1
41	1	1
42	1	3
43	1	1
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	0	3
50	0	3
51	0	3
52	0	3
53	0	3
54	0	4
55	0	3
56	0	4
57	0	1
58	0	3
59	0	1
60	0	2
61	0	1
62	0	1
63	0	2
64	0	3
65	0	2
66	0	4
67	0	3
68	0	3
69	0	1
70	0	3
71	0	1
