Trial	A/R	Trigger_mode
1	0	4
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	2
10	0	2
11	0	1
12	1	3
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	0	1
22	1	2
23	1	1
24	1	1
25	1	2
26	1	1
27	0	1
28	1	1
29	0	1
30	1	2
31	0	1
32	0	1
33	0	2
34	1	3
35	1	1
36	1	1
37	1	1
38	1	1
39	1	1
40	1	1
41	1	1
42	1	1
43	1	1
44	0	1
45	0	1
46	0	2
47	0	3
48	1	2
49	1	1
50	2	1
51	1	3
52	1	1
53	0	1
54	0	1
55	0	1
56	0	1
57	0	1
58	0	1
59	0	2
60	0	1
61	0	2
62	0	2
63	0	1
64	1	1
65	0	1
66	1	2
67	1	1
68	1	1
69	1	1
70	0	1
71	0	2
72	0	3
73	1	1
74	1	1
75	1	1
76	0	1
77	0	2
78	1	1
79	0	1
80	0	2
81	0	2
82	0	2
83	0	4
84	0	3
85	0	1
86	0	2
87	0	1
88	0	1
89	0	2
90	0	1
91	0	2
92	0	1
93	0	1
94	0	2
95	0	1
96	0	2
97	0	2
98	0	1
99	0	3
100	0	3
101	0	1
102	0	1
