Trial	A/R	Trigger_mode
1	1	4
2	0	3
3	1	3
4	0	3
5	1	1
6	1	1
7	1	1
8	0	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	0	1
27	0	1
28	1	2
29	1	1
30	1	1
31	1	1
32	0	1
33	1	2
34	1	1
35	0	1
36	0	1
37	1	2
38	1	1
39	0	1
40	1	1
41	1	2
42	0	1
43	0	3
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	1	1
50	0	1
51	0	1
52	0	2
53	0	1
54	1	1
55	0	1
56	0	3
57	1	1
58	0	1
59	0	1
60	0	1
61	0	1
62	0	2
63	0	3
64	1	4
65	0	1
66	0	1
67	0	2
68	0	1
69	0	1
70	0	1
71	0	1
72	0	1
73	0	1
74	0	1
