Trial	A/R	Trigger_mode
1	1	4
2	1	1
3	1	1
4	1	3
5	1	3
6	0	3
7	0	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	0	1
15	0	1
16	0	1
17	1	1
18	1	1
19	0	1
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	1	1
27	1	1
28	1	1
29	1	1
30	1	1
31	1	1
32	1	1
33	1	1
34	1	3
35	1	2
36	1	1
37	1	2
38	1	3
39	1	1
40	1	1
41	0	3
42	1	1
43	1	1
44	1	1
45	0	1
46	1	1
47	1	1
48	0	1
49	1	1
50	1	1
51	1	1
52	1	1
53	1	1
54	1	1
55	1	1
56	1	1
57	1	1
58	1	1
59	1	1
60	1	1
61	1	1
62	0	1
63	0	1
64	0	1
65	0	2
66	0	1
67	0	1
68	0	2
69	1	1
70	1	3
71	1	2
72	1	3
73	1	3
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	0	3
80	0	3
81	0	1
82	0	1
83	0	1
84	1	1
85	1	1
86	0	1
87	1	1
88	1	1
89	0	1
90	0	2
91	0	1
92	1	1
93	1	1
94	1	1
95	1	1
96	1	1
97	0	1
98	0	1
99	0	1
100	0	1
101	1	1
102	0	1
103	0	2
104	1	1
105	0	1
106	0	1
107	1	1
108	0	1
109	0	1
110	0	1
111	0	1
112	0	2
113	0	1
114	0	1
115	0	1
116	1	1
117	0	1
118	1	1
119	1	1
120	1	1
121	1	1
122	1	1
123	1	1
124	1	1
125	0	1
126	0	3
127	1	1
128	1	1
129	1	1
130	0	1
131	1	1
132	0	1
133	1	1
134	1	1
135	1	1
136	1	1
137	0	2
138	1	3
139	0	1
140	0	1
141	1	3
142	1	2
143	0	3
