Trial	A/R	Trigger_mode
1	1	4
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	2
11	0	2
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	2
18	1	1
19	1	1
20	1	1
21	1	1
22	0	2
23	1	1
24	1	1
25	1	2
26	1	1
27	1	1
28	1	1
29	1	1
30	1	2
31	1	1
32	1	2
33	1	2
34	1	2
35	1	1
36	1	1
37	0	1
38	1	2
39	0	1
40	1	2
41	1	1
42	1	1
43	1	1
44	1	1
45	1	1
46	0	1
47	0	2
48	0	1
49	0	2
50	0	1
51	1	2
52	1	1
53	0	1
54	0	2
55	1	2
56	0	3
57	0	1
58	0	3
59	0	3
60	0	3
61	0	3
62	0	3
63	0	1
64	0	3
65	0	1
66	0	2
67	0	1
68	0	2
69	0	3
70	1	1
71	0	1
72	0	1
73	0	1
74	0	2
75	0	2
76	0	2
77	0	1
78	0	1
79	1	2
80	1	1
81	1	1
82	1	1
83	1	1
84	1	1
85	0	1
86	1	2
87	0	1
88	1	2
89	1	1
90	1	1
91	0	1
92	0	2
93	1	2
94	0	2
95	0	1
96	0	1
97	1	1
98	0	2
99	0	3
100	0	1
101	1	2
102	0	1
103	0	3
104	1	1
105	0	1
106	1	2
107	1	2
108	1	1
109	1	1
110	1	1
111	1	1
112	0	1
113	0	2
114	1	1
115	1	2
116	0	3
117	1	2
118	0	1
119	0	2
120	1	1
121	0	2
122	0	3
123	0	2
124	0	2
125	0	2
126	0	3
127	0	1
128	0	1
129	0	3
130	0	2
131	0	3
