Trial	A/R	Trigger_mode
1	1	4
2	1	1
3	1	2
4	1	3
5	1	1
6	1	1
7	1	1
8	0	1
9	1	1
10	1	1
11	1	2
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	1	1
27	1	1
28	1	1
29	0	1
30	1	2
31	1	1
32	1	1
33	1	1
34	1	1
35	1	1
36	1	1
37	1	2
38	1	1
39	1	1
40	1	1
41	0	3
42	0	2
43	0	1
44	1	2
45	1	1
46	0	1
47	0	2
48	1	2
49	0	3
50	1	2
51	0	1
52	1	2
53	1	3
54	0	2
55	0	3
56	0	2
57	0	1
58	0	3
59	1	4
60	1	1
61	0	1
62	0	1
63	1	3
64	1	2
65	0	3
66	0	1
67	0	1
68	0	1
69	0	1
70	1	2
71	0	1
72	0	1
73	0	1
74	1	1
75	0	1
76	0	1
77	0	1
78	0	3
79	0	1
80	1	2
81	0	1
82	1	2
83	1	1
84	1	1
85	0	1
86	0	1
87	0	1
88	0	1
89	0	1
90	0	2
91	0	1
92	0	1
93	0	1
94	0	1
95	1	1
96	0	1
97	2	1
98	1	1
99	0	1
100	1	1
101	0	1
102	0	1
103	0	1
104	0	1
105	0	1
106	1	1
107	1	2
108	0	2
109	1	2
110	1	1
111	1	1
112	0	1
113	0	1
114	1	1
115	1	1
116	1	1
117	0	3
118	1	2
119	0	1
120	0	1
121	0	3
122	0	3
123	0	3
124	0	3
125	0	1
126	0	3
127	0	2
128	0	1
129	0	2
130	0	1
131	0	1
