Trial	A/R	Trigger_mode
1	1	4
2	0	1
3	1	1
4	1	1
5	1	1
6	1	2
7	1	1
8	1	1
9	1	1
10	1	1
11	1	2
12	1	1
13	1	3
14	1	3
15	1	3
16	0	3
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	2
24	1	1
25	1	1
26	1	1
27	1	1
28	1	1
29	1	3
30	0	1
31	1	2
32	0	1
33	0	1
34	0	2
35	1	3
36	1	1
37	1	1
38	1	1
39	1	1
40	1	1
41	1	1
42	1	2
43	1	1
44	1	1
45	1	3
46	1	1
47	1	1
48	1	1
49	1	2
50	1	1
51	1	1
52	0	1
53	0	3
54	1	2
55	1	1
56	0	1
57	1	2
58	1	1
59	1	1
60	1	1
61	1	1
62	1	1
63	1	2
64	0	1
65	0	2
66	0	1
67	1	3
68	1	1
69	1	1
70	1	1
71	1	1
72	1	1
73	1	1
74	1	1
75	1	1
76	0	1
77	1	2
78	1	1
79	1	1
80	0	1
81	0	3
82	0	3
83	0	3
84	0	3
85	0	1
86	0	2
87	1	1
88	0	1
89	1	1
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
95	0	1
96	0	3
97	0	1
98	0	2
99	1	1
100	1	2
101	1	1
102	0	1
103	1	3
104	1	3
105	1	1
106	1	1
107	1	1
108	1	1
109	0	1
110	0	3
111	0	3
112	0	3
113	0	3
114	0	3
115	0	3
116	1	1
117	0	1
118	1	2
119	1	2
120	1	1
121	0	1
122	0	3
123	1	1
124	1	2
125	0	1
126	1	3
127	1	3
128	1	3
129	1	3
130	1	3
131	1	1
132	1	1
133	0	3
134	0	3
135	0	3
136	1	3
137	0	3
138	0	3
139	0	3
140	0	1
141	0	1
142	0	1
143	0	1
144	0	1
